Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 0.1942254
1.0625E-5 ; 0.1884263
1.125E-5 ; 0.1831175
1.1875E-5 ; 0.1782335
1.25E-5 ; 0.1737205
1.375E-5 ; 0.165636
1.5E-5 ; 0.1585844
1.625E-5 ; 0.152363
1.75E-5 ; 0.1468206
1.875E-5 ; 0.1418422
2.0E-5 ; 0.1373381
2.1875E-5 ; 0.1313203
2.375E-5 ; 0.1260301
2.5625E-5 ; 0.1213317
2.75E-5 ; 0.1171223
2.9375E-5 ; 0.1133228
3.125E-5 ; 0.1098705
3.3125E-5 ; 0.1067156
3.5E-5 ; 0.1038178
3.875E-5 ; 0.0986666
4.25E-5 ; 0.09421316
4.625E-5 ; 0.09031298
5.0E-5 ; 0.08686025
5.3125E-5 ; 0.08426682
5.625E-5 ; 0.08189263
5.9375E-5 ; 0.07970843
6.25E-5 ; 0.07769017
6.875E-5 ; 0.07407467
7.5E-5 ; 0.07092109
8.125E-5 ; 0.06813878
8.75E-5 ; 0.06566017
9.375E-5 ; 0.06343376
1.0E-4 ; 0.06141947
1.0625E-4 ; 0.05958564
1.125E-4 ; 0.05790683
1.1875E-4 ; 0.05636237
1.25E-4 ; 0.05493524
1.375E-4 ; 0.0523787
1.5E-4 ; 0.05014878
1.625E-4 ; 0.04818139
1.75E-4 ; 0.04642875
1.875E-4 ; 0.04485443
2.0E-4 ; 0.04343012
2.1875E-4 ; 0.04152713
2.375E-4 ; 0.03985421
2.5625E-4 ; 0.03836843
2.75E-4 ; 0.03703733
2.9375E-4 ; 0.03583579
3.125E-4 ; 0.03474409
3.3125E-4 ; 0.03374645
3.5E-4 ; 0.03283008
3.875E-4 ; 0.03120111
4.25E-4 ; 0.02979281
4.625E-4 ; 0.02855946
5.0E-4 ; 0.02746761
5.3125E-4 ; 0.02664749
5.625E-4 ; 0.02589671
5.9375E-4 ; 0.025206
6.25E-4 ; 0.02456777
6.875E-4 ; 0.02342445
7.5E-4 ; 0.0224272
8.125E-4 ; 0.02154736
8.75E-4 ; 0.02076355
9.375E-4 ; 0.02005949
0.001 ; 0.01942252
0.0010625 ; 0.01884261
0.001125 ; 0.01831172
0.0011875 ; 0.01782332
0.00125 ; 0.01737202
0.001375 ; 0.01656357
0.0015 ; 0.01585841
0.001625 ; 0.01523626
0.00175 ; 0.01468202
0.001875 ; 0.01418418
0.002 ; 0.01373377
0.0021875 ; 0.01313199
0.002375 ; 0.01260296
0.0025625 ; 0.01213311
0.00275 ; 0.01171217
0.0029375 ; 0.01133221
0.003125 ; 0.01098698
0.0033125 ; 0.01067149
0.0035 ; 0.01038171
0.003875 ; 0.00986658
